spat_temp_id,spat_temp_id_str,fishnet_id,temp_day_id
1306,34_19,34,19
1307,34_20,34,20
1308,34_21,34,21
1309,34_22,34,22
1310,34_23,34,23
1311,34_24,34,24
1312,34_25,34,25
1313,34_26,34,26
1314,34_27,34,27
1315,34_28,34,28
1316,34_29,34,29
1317,34_30,34,30
1318,34_31,34,31
1319,34_32,34,32
1320,34_33,34,33
1321,34_34,34,34
1322,34_35,34,35
1323,34_36,34,36
1324,34_37,34,37
1325,34_38,34,38
1326,34_39,34,39
1327,35_1,35,1
1328,35_2,35,2
1329,35_3,35,3
1330,35_4,35,4
1331,35_5,35,5
1332,35_6,35,6
1333,35_7,35,7
1334,35_8,35,8
1335,35_9,35,9
1336,35_10,35,10
1337,35_11,35,11
1338,35_12,35,12
1339,35_13,35,13
1340,35_14,35,14
1341,35_15,35,15
1342,35_16,35,16
1343,35_17,35,17
1344,35_18,35,18
1345,35_19,35,19
1346,35_20,35,20
1347,35_21,35,21
1348,35_22,35,22
1349,35_23,35,23
1350,35_24,35,24
1351,35_25,35,25
1352,35_26,35,26
1353,35_27,35,27
1354,35_28,35,28
1355,35_29,35,29
1356,35_30,35,30
1357,35_31,35,31
1358,35_32,35,32
1359,35_33,35,33
1360,35_34,35,34
1361,35_35,35,35
1362,35_36,35,36
1363,35_37,35,37
1364,35_38,35,38
1365,35_39,35,39
1366,36_1,36,1
1367,36_2,36,2
1368,36_3,36,3
1369,36_4,36,4
1370,36_5,36,5
1371,36_6,36,6
1372,36_7,36,7
1373,36_8,36,8
1374,36_9,36,9
1375,36_10,36,10
1376,36_11,36,11
1377,36_12,36,12
1378,36_13,36,13
1379,36_14,36,14
1380,36_15,36,15
1381,36_16,36,16
1382,36_17,36,17
1383,36_18,36,18
1384,36_19,36,19
1385,36_20,36,20
1386,36_21,36,21
1387,36_22,36,22
1388,36_23,36,23
1389,36_24,36,24
1390,36_25,36,25
1391,36_26,36,26
1392,36_27,36,27
1393,36_28,36,28
1394,36_29,36,29
1395,36_30,36,30
1396,36_31,36,31
1397,36_32,36,32
1398,36_33,36,33
1399,36_34,36,34
1400,36_35,36,35
1401,36_36,36,36
1402,36_37,36,37
1403,36_38,36,38
1404,36_39,36,39
1405,37_1,37,1
1406,37_2,37,2
1407,37_3,37,3
1408,37_4,37,4
1409,37_5,37,5
1410,37_6,37,6
1411,37_7,37,7
1412,37_8,37,8
1413,37_9,37,9
1414,37_10,37,10
1415,37_11,37,11
1416,37_12,37,12
1417,37_13,37,13
1418,37_14,37,14
1419,37_15,37,15
1420,37_16,37,16
1421,37_17,37,17
1422,37_18,37,18
1423,37_19,37,19
1424,37_20,37,20
1425,37_21,37,21
1426,37_22,37,22
1427,37_23,37,23
1428,37_24,37,24
1429,37_25,37,25
1430,37_26,37,26
1431,37_27,37,27
1432,37_28,37,28
1433,37_29,37,29
1434,37_30,37,30
1435,37_31,37,31
1436,37_32,37,32
1437,37_33,37,33
1438,37_34,37,34
1439,37_35,37,35
1440,37_36,37,36
1441,37_37,37,37
1442,37_38,37,38
1443,37_39,37,39
1444,38_1,38,1
1445,38_2,38,2
1446,38_3,38,3
1447,38_4,38,4
1448,38_5,38,5
1449,38_6,38,6
1450,38_7,38,7
1451,38_8,38,8
1452,38_9,38,9
1453,38_10,38,10
1454,38_11,38,11
1455,38_12,38,12
1456,38_13,38,13
1457,38_14,38,14
1458,38_15,38,15
1459,38_16,38,16
1460,38_17,38,17
1461,38_18,38,18
1462,38_19,38,19
1463,38_20,38,20
1464,38_21,38,21
1465,38_22,38,22
1466,38_23,38,23
1467,38_24,38,24
1468,38_25,38,25
1469,38_26,38,26
1470,38_27,38,27
1471,38_28,38,28
1472,38_29,38,29
1473,38_30,38,30
1474,38_31,38,31
1475,38_32,38,32
1476,38_33,38,33
1477,38_34,38,34
1478,38_35,38,35
1479,38_36,38,36
1480,38_37,38,37
1481,38_38,38,38
1482,38_39,38,39
1483,39_1,39,1
1484,39_2,39,2
1485,39_3,39,3
1486,39_4,39,4
1487,39_5,39,5
1488,39_6,39,6
1489,39_7,39,7
1490,39_8,39,8
1491,39_9,39,9
1492,39_10,39,10
1493,39_11,39,11
1494,39_12,39,12
1495,39_13,39,13
1496,39_14,39,14
1497,39_15,39,15
1498,39_16,39,16
1499,39_17,39,17
1500,39_18,39,18
1501,39_19,39,19
1502,39_20,39,20
1503,39_21,39,21
1504,39_22,39,22
1505,39_23,39,23
1506,39_24,39,24
1507,39_25,39,25
1508,39_26,39,26
1509,39_27,39,27
1510,39_28,39,28
1511,39_29,39,29
1512,39_30,39,30
1513,39_31,39,31
1514,39_32,39,32
1515,39_33,39,33
1516,39_34,39,34
1517,39_35,39,35
1518,39_36,39,36
1519,39_37,39,37
1520,39_38,39,38
1521,39_39,39,39
1522,40_1,40,1
1523,40_2,40,2
1524,40_3,40,3
1525,40_4,40,4
1526,40_5,40,5
1527,40_6,40,6
1528,40_7,40,7
1529,40_8,40,8
1530,40_9,40,9
1531,40_10,40,10
1532,40_11,40,11
1533,40_12,40,12
1534,40_13,40,13
